order_id,order_date,product_id,quantity,unit_price,discount_pct,city,channel
O100090,2024-07-01 15:00,P017,2,59,0,Madinah,web
O100091,2024-07-01 19:00,P017,1,59,0,Khobar,app
O100092,2024-07-01 16:00,P017,2,59,0,Abha,app
O100093,2024-07-01 13:00,P017,2,59,0,Jeddah,app
O100094,2024-07-01 21:00,P017,2,59,0,Riyadh,web
O100095,2024-07-01 17:00,P018,1,79,0,Tabuk,app
O100096,2024-07-01 18:00,P018,1,79,0,Madinah,app
O100097,2024-07-01 20:00,P018,2,79,0,Madinah,app
O100098,2024-07-01 23:00,P018,2,79,0,Tabuk,web
O100099,2024-07-01 20:00,P019,2,45,0,Jeddah,app
O100100,2024-07-01 22:00,P019,1,45,0,Dammam,app
O100101,2024-07-01 19:00,P019,3,45,0,Jeddah,web
O100102,2024-07-01 10:00,P019,1,45,0,Madinah,app
O100103,2024-07-01 14:00,P020,1,22,0,Riyadh,app
O100104,2024-07-01 12:00,P020,2,22,0,Khobar,web
O100105,2024-07-01 08:00,P020,2,22,0,Jeddah,web
O100106,2024-07-01 19:00,P020,2,22,0,Jeddah,app
O100107,2024-07-01 17:00,P020,2,22,10,Jeddah,web
O100108,2024-07-01 19:00,P021,1,35,0,Riyadh,app
O100109,2024-07-01 15:00,P021,2,35,0,Tabuk,app
O100110,2024-07-01 16:00,P021,1,35,0,Riyadh,web
O100111,2024-07-01 05:00,P021,2,35,0,Dammam,app
O100112,2024-07-01 20:00,P021,1,35,0,Riyadh,app
O100113,2024-07-01 18:00,P021,1,35,0,Madinah,app
O100114,2024-07-01 14:00,P021,1,35,10,Khobar,app
O100115,2024-07-01 15:00,P022,3,49,0,Riyadh,app
O100116,2024-07-01 06:00,P022,1,49,0,Riyadh,app
O100117,2024-07-01 15:00,P022,1,49,0,Riyadh,app
O100118,2024-07-01 12:00,P022,1,49,0,Riyadh,app
O100119,2024-07-01 16:00,P024,1,85,0,Jeddah,app
O100120,2024-07-02 23:00,P001,1,45,0,Jeddah,app
O100121,2024-07-02 19:00,P001,1,45,0,Riyadh,web
O100122,2024-07-02 17:00,P001,1,45,0,Riyadh,web
O100123,2024-07-02 21:00,P001,1,45,0,Dammam,app
O100124,2024-07-02 21:00,P001,2,45,0,Dammam,web
O100125,2024-07-02 17:00,P001,2,45,0,Abha,app
O100126,2024-07-02 17:00,P002,1,15,0,Riyadh,app
O100127,2024-07-02 23:00,P002,2,15,0,Abha,app
O100128,2024-07-02 12:00,P002,1,15,0,Riyadh,app
O100129,2024-07-02 16:00,P002,3,15,0,Tabuk,app
O100130,2024-07-02 17:00,P002,1,15,0,Jeddah,app
O100131,2024-07-02 11:00,P002,1,15,0,Riyadh,app
O100132,2024-07-02 21:00,P002,2,15,0,Riyadh,app
O100133,2024-07-02 12:00,P002,1,15,0,Jeddah,app
O100134,2024-07-02 16:00,P002,2,15,0,Tabuk,app
O100135,2024-07-02 14:00,P002,1,15,0,Jeddah,app
O100136,2024-07-02 18:00,P003,1,39,0,Riyadh,app
O100137,2024-07-02 17:00,P003,2,39,0,Jeddah,app
O100138,2024-07-02 23:00,P003,2,39,0,Riyadh,app
O100139,2024-07-02 15:00,P003,2,39,0,Riyadh,app
O100140,2024-07-02 17:00,P003,1,39,10,Makkah,app
O100141,2024-07-02 23:00,P003,1,39,0,Dammam,app
O100142,2024-07-02 08:00,P004,1,59,0,Tabuk,web
O100143,2024-07-02 17:00,P004,1,59,0,Riyadh,web
O100144,2024-07-02 14:00,P004,1,59,0,Riyadh,web
O100145,2024-07-02 17:00,P004,1,59,0,Jeddah,web
O100146,2024-07-02 16:00,P004,1,59,0,Abha,app
O100147,2024-07-02 11:00,P004,3,59,10,Riyadh,web
O100148,2024-07-02 14:00,P005,2,189,0,Riyadh,web
O100149,2024-07-02 13:00,P005,1,189,0,Madinah,web
O100150,2024-07-02 15:00,P006,3,149,0,Riyadh,web
O100151,2024-07-02 18:00,P006,2,149,0,Jeddah,web
O100152,2024-07-02 23:00,P006,2,149,0,Jeddah,web
O100153,2024-07-02 13:00,P006,1,149,0,Abha,app
O100154,2024-07-02 23:00,P007,3,79,0,Riyadh,app
O100155,2024-07-02 21:00,P007,1,79,0,Riyadh,app
O100156,2024-07-02 22:00,P007,1,79,0,Jeddah,app
O100157,2024-07-02 18:00,P007,1,79,10,Madinah,app
O100158,2024-07-02 11:00,P007,1,79,0,Riyadh,web
O100159,2024-07-02 16:00,P007,2,79,0,Khobar,web
O100160,2024-07-02 13:00,P008,3,89,0,Jeddah,web
O100161,2024-07-02 18:00,P008,1,89,0,Abha,web
O100162,2024-07-02 15:00,P008,2,89,0,Dammam,app
O100163,2024-07-02 15:00,P009,1,29,0,Makkah,web
O100164,2024-07-02 22:00,P009,3,29,0,Jeddah,app
O100165,2024-07-02 17:00,P009,2,29,0,Jeddah,app
O100166,2024-07-02 19:00,P009,1,29,0,Riyadh,web
O100167,2024-07-02 20:00,P009,2,29,0,Riyadh,web
O100168,2024-07-02 19:00,P010,1,119,0,Makkah,app
O100169,2024-07-02 07:00,P010,1,119,0,Tabuk,app
O100170,2024-07-02 21:00,P010,1,119,0,Tabuk,app
O100171,2024-07-02 14:00,P010,2,119,0,Abha,app
O100172,2024-07-02 20:00,P010,1,119,0,Jeddah,app
O100173,2024-07-02 17:00,P011,1,99,0,Riyadh,web
O100174,2024-07-02 23:00,P011,2,99,0,Khobar,app
O100175,2024-07-02 12:00,P011,1,99,0,Khobar,app
O100176,2024-07-02 11:00,P011,1,99,0,Jeddah,app
O100177,2024-07-02 22:00,P011,1,99,0,Dammam,app
O100178,2024-07-02 16:00,P011,3,99,0,Khobar,web
O100179,2024-07-02 10:00,P011,2,99,0,Khobar,web
O100180,2024-07-02 17:00,P011,1,99,0,Makkah,app
O100181,2024-07-02 16:00,P011,3,99,10,Riyadh,app
O100182,2024-07-02 22:00,P011,3,99,0,Jeddah,web
O100183,2024-07-02 20:00,P011,2,99,0,Khobar,app
O100184,2024-07-02 12:00,P012,1,25,0,Riyadh,web
O100185,2024-07-02 16:00,P012,1,25,0,Makkah,app
O100186,2024-07-02 07:00,P012,1,25,0,Khobar,app
O100187,2024-07-02 16:00,P012,2,25,0,Madinah,web
O100188,2024-07-02 17:00,P012,2,25,0,Jeddah,app
O100189,2024-07-02 17:00,P012,1,25,0,Riyadh,web
O100190,2024-07-02 21:00,P012,1,25,0,Jeddah,app
O100191,2024-07-02 20:00,P012,1,25,0,Jeddah,app
O100192,2024-07-02 10:00,P013,2,69,0,Dammam,app
O100193,2024-07-02 15:00,P013,2,69,0,Riyadh,app
O100194,2024-07-02 12:00,P013,1,69,0,Madinah,app
O100195,2024-07-02 19:00,P014,2,19,0,Riyadh,web
O100196,2024-07-02 19:00,P014,2,19,0,Abha,app
O100197,2024-07-02 20:00,P014,1,19,0,Riyadh,app
O100198,2024-07-02 23:00,P014,1,19,0,Riyadh,web
O100199,2024-07-02 13:00,P015,2,129,0,Riyadh,app
O100200,2024-07-02 14:00,P015,1,129,0,Abha,app
O100201,2024-07-02 11:00,P016,1,99,0,Khobar,app
O100202,2024-07-02 19:00,P017,3,59,0,Riyadh,app
O100203,2024-07-02 06:00,P017,1,59,0,Jeddah,app
O100204,2024-07-02 19:00,P017,2,59,0,Riyadh,web
O100205,2024-07-02 23:00,P017,2,59,0,Jeddah,app
O100206,2024-07-02 08:00,P017,2,59,0,Jeddah,web
O100207,2024-07-02 16:00,P018,1,79,0,Riyadh,web
O100208,2024-07-02 20:00,P018,2,79,0,Dammam,app
O100209,2024-07-02 19:00,P018,1,79,0,Dammam,app
O100210,2024-07-02 15:00,P018,1,79,0,Abha,app
O100211,2024-07-02 07:00,P020,2,22,0,Jeddah,web
O100212,2024-07-02 16:00,P020,2,22,0,Jeddah,app
O100213,2024-07-02 15:00,P020,1,22,0,Jeddah,app
O100214,2024-07-02 15:00,P021,2,35,0,Tabuk,app
O100215,2024-07-02 15:00,P021,1,35,0,Riyadh,app
O100216,2024-07-02 19:00,P021,2,35,0,Abha,web
O100217,2024-07-02 22:00,P021,1,35,0,Riyadh,app
O100218,2024-07-02 18:00,P021,1,35,0,Jeddah,app
O100219,2024-07-02 20:00,P021,1,35,0,Jeddah,web
O100220,2024-07-02 18:00,P021,3,35,0,Tabuk,web
O100221,2024-07-02 23:00,P022,1,49,10,Riyadh,app
O100222,2024-07-02 15:00,P022,1,49,0,Abha,app
O100223,2024-07-02 23:00,P022,1,49,0,Riyadh,app
O100224,2024-07-02 15:00,P022,3,49,0,Jeddah,web
O100225,2024-07-02 15:00,P022,3,49,0,Riyadh,app
O100226,2024-07-02 17:00,P024,2,85,0,Abha,app
O100227,2024-07-02 15:00,P024,2,85,0,Jeddah,app
O100228,2024-07-02 12:00,P024,1,85,0,Madinah,app
O100229,2024-07-02 14:00,P024,3,85,0,Riyadh,web
O100230,2024-07-02 16:00,P024,3,85,0,Abha,app
O100231,2024-07-02 16:00,P024,1,85,0,Riyadh,web
O100232,2024-07-02 19:00,P024,2,85,0,Dammam,web
O100233,2024-07-03 16:00,P001,3,45,0,Dammam,web
O100234,2024-07-03 12:00,P001,1,45,0,Jeddah,web
O100235,2024-07-03 15:00,P001,2,45,0,Riyadh,web
O100236,2024-07-03 16:00,P001,1,45,0,Jeddah,app
O100237,2024-07-03 14:00,P001,1,45,0,Riyadh,app
O100238,2024-07-03 18:00,P001,1,45,0,Tabuk,app
O100239,2024-07-03 15:00,P001,2,45,0,Khobar,app
O100240,2024-07-03 22:00,P002,2,15,0,Dammam,app
O100241,2024-07-03 23:00,P002,2,15,0,Tabuk,web
O100242,2024-07-03 19:00,P002,1,15,0,Abha,app
O100243,2024-07-03 20:00,P002,2,15,0,Jeddah,web
O100244,2024-07-03 16:00,P002,1,15,0,Dammam,app
O100245,2024-07-03 18:00,P002,1,15,0,Madinah,app
O100246,2024-07-03 14:00,P002,1,15,0,Jeddah,web
O100247,2024-07-03 07:00,P002,1,15,0,Madinah,web
O100248,2024-07-03 19:00,P002,1,15,0,Riyadh,app
O100249,2024-07-03 13:00,P002,1,15,0,Jeddah,app
O100250,2024-07-03 04:00,P002,2,15,10,Abha,app
O100251,2024-07-03 22:00,P002,2,15,0,Riyadh,app
O100252,2024-07-03 18:00,P002,1,15,0,Dammam,app
O100253,2024-07-03 20:00,P002,1,15,0,Khobar,app
O100254,2024-07-03 20:00,P002,2,15,0,Jeddah,web
O100255,2024-07-03 10:00,P003,3,39,0,Makkah,web
O100256,2024-07-03 16:00,P003,1,39,0,Abha,web
O100257,2024-07-03 12:00,P003,2,39,0,Riyadh,app
O100258,2024-07-03 09:00,P003,1,39,0,Riyadh,app
O100259,2024-07-03 10:00,P003,2,39,0,Riyadh,web
O100260,2024-07-03 18:00,P003,2,39,10,Riyadh,app
O100261,2024-07-03 16:00,P003,2,39,0,Madinah,app
O100262,2024-07-03 18:00,P004,2,59,0,Jeddah,app
O100263,2024-07-03 12:00,P004,3,59,0,Madinah,web
O100264,2024-07-03 15:00,P004,1,59,0,Jeddah,web
O100265,2024-07-03 15:00,P004,2,59,0,Riyadh,web
O100266,2024-07-03 23:00,P005,3,189,0,Khobar,app
O100267,2024-07-03 11:00,P007,1,79,0,Dammam,app
O100268,2024-07-03 21:00,P007,1,79,0,Madinah,app
O100269,2024-07-03 10:00,P007,2,79,0,Khobar,app
O100270,2024-07-03 10:00,P007,1,79,0,Jeddah,app
O100271,2024-07-03 13:00,P007,2,79,0,Abha,web
O100272,2024-07-03 15:00,P007,2,79,0,Riyadh,app
O100273,2024-07-03 17:00,P007,3,79,0,Tabuk,app
O100274,2024-07-03 18:00,P008,1,89,0,Madinah,app
O100275,2024-07-03 19:00,P008,3,89,0,Madinah,web
O100276,2024-07-03 13:00,P008,2,89,0,Riyadh,web
O100277,2024-07-03 14:00,P009,1,29,0,Madinah,web
O100278,2024-07-03 17:00,P009,2,29,0,Riyadh,app
O100279,2024-07-03 09:00,P009,2,29,0,Riyadh,app
O100280,2024-07-03 06:00,P009,2,29,0,Jeddah,app
O100281,2024-07-03 21:00,P009,1,29,0,Abha,app
O100282,2024-07-03 16:00,P009,1,29,0,Tabuk,app
O100283,2024-07-03 14:00,P010,1,119,0,Tabuk,web
O100284,2024-07-03 14:00,P010,1,119,0,Madinah,app
O100285,2024-07-03 16:00,P010,2,119,0,Makkah,app
O100286,2024-07-03 19:00,P011,1,99,0,Jeddah,app
O100287,2024-07-03 18:00,P011,2,99,0,Riyadh,web
O100288,2024-07-03 14:00,P011,2,99,0,Dammam,web
O100289,2024-07-03 23:00,P011,2,99,0,Dammam,web
O100290,2024-07-03 23:00,P012,1,25,0,Riyadh,app
O100291,2024-07-03 11:00,P012,1,25,0,Jeddah,app
O100292,2024-07-03 17:00,P012,3,25,0,Dammam,app
O100293,2024-07-03 06:00,P012,1,25,0,Abha,app
O100294,2024-07-03 09:00,P012,1,25,0,Riyadh,web
O100295,2024-07-03 18:00,P012,1,25,0,Madinah,app
O100296,2024-07-03 15:00,P014,1,19,0,Madinah,web
O100297,2024-07-03 17:00,P014,2,19,0,Khobar,app
O100298,2024-07-03 16:00,P014,1,19,0,Riyadh,app
O100299,2024-07-03 19:00,P014,3,19,10,Dammam,app
O100300,2024-07-03 13:00,P015,1,129,10,Abha,app
O100301,2024-07-03 18:00,P015,1,129,0,Dammam,app
O100302,2024-07-03 23:00,P015,2,129,0,Jeddah,web
O100303,2024-07-03 10:00,P015,1,129,0,Jeddah,web
O100304,2024-07-03 18:00,P016,1,99,0,Riyadh,web
O100305,2024-07-03 16:00,P016,1,99,0,Khobar,web
O100306,2024-07-03 20:00,P017,1,59,0,Dammam,web
O100307,2024-07-03 14:00,P017,1,59,0,Dammam,app
O100308,2024-07-03 23:00,P017,1,59,0,Jeddah,web
O100309,2024-07-03 14:00,P017,1,59,0,Riyadh,app
O100310,2024-07-03 17:00,P017,2,59,0,Khobar,app
O100311,2024-07-03 15:00,P018,2,79,0,Riyadh,app
O100312,2024-07-03 11:00,P019,1,45,0,Riyadh,app
O100313,2024-07-03 13:00,P019,3,45,0,Dammam,web
O100314,2024-07-03 03:00,P019,2,45,0,Jeddah,app
O100315,2024-07-03 12:00,P019,1,45,0,Madinah,app
O100316,2024-07-03 11:00,P019,1,45,0,Tabuk,app
O100317,2024-07-03 11:00,P020,2,22,0,Riyadh,app
O100318,2024-07-03 11:00,P020,3,22,0,Tabuk,web
O100319,2024-07-03 12:00,P020,1,22,0,Riyadh,app
O100320,2024-07-03 09:00,P020,2,22,0,Khobar,app
O100321,2024-07-03 11:00,P020,2,22,0,Makkah,web
O100322,2024-07-03 15:00,P020,2,22,0,Riyadh,app
O100323,2024-07-03 20:00,P021,1,35,0,Jeddah,web
O100324,2024-07-03 23:00,P022,1,49,0,Jeddah,app
O100325,2024-07-03 15:00,P022,2,49,0,Dammam,web
O100326,2024-07-03 13:00,P022,1,49,0,Riyadh,app
O100327,2024-07-03 18:00,P024,2,85,0,Madinah,app
O100328,2024-07-04 16:00,P001,1,45,10,Jeddah,app
O100329,2024-07-04 23:00,P001,1,45,0,Jeddah,web
O100330,2024-07-04 17:00,P001,1,45,0,Jeddah,web
O100331,2024-07-04 17:00,P001,1,45,0,Tabuk,web
O100332,2024-07-04 10:00,P001,1,45,0,Riyadh,app
O100333,2024-07-04 21:00,P002,1,15,0,Makkah,web
O100334,2024-07-04 23:00,P002,1,15,0,Jeddah,app
O100335,2024-07-04 19:00,P002,2,15,0,Abha,web
O100336,2024-07-04 22:00,P002,1,15,0,Riyadh,app
O100337,2024-07-04 14:00,P002,1,15,0,Dammam,app
O100338,2024-07-04 23:00,P002,2,15,10,Riyadh,app
O100339,2024-07-04 15:00,P003,3,39,0,Riyadh,web
O100340,2024-07-04 14:00,P003,1,39,0,Riyadh,app
O100341,2024-07-04 12:00,P003,1,39,0,Riyadh,web
O100342,2024-07-04 17:00,P004,2,59,0,Khobar,web
O100343,2024-07-04 23:00,P004,3,59,0,Madinah,web
O100344,2024-07-04 15:00,P004,2,59,0,Khobar,app
O100345,2024-07-04 17:00,P004,2,59,0,Jeddah,web
O100346,2024-07-04 19:00,P004,1,59,0,Jeddah,app
O100347,2024-07-04 20:00,P004,1,59,0,Jeddah,app
O100348,2024-07-04 16:00,P004,1,59,0,Riyadh,app
O100349,2024-07-04 21:00,P004,2,59,0,Riyadh,app
O100350,2024-07-04 13:00,P004,2,59,0,Riyadh,app
O100351,2024-07-04 23:00,P005,1,189,0,Dammam,app
O100352,2024-07-04 21:00,P005,1,189,0,Riyadh,app
O100353,2024-07-04 19:00,P006,3,149,0,Jeddah,app
O100354,2024-07-04 14:00,P006,2,149,0,Riyadh,app
O100355,2024-07-04 14:00,P007,3,79,0,Jeddah,app
O100356,2024-07-04 18:00,P007,1,79,0,Riyadh,app
O100357,2024-07-04 15:00,P007,1,79,0,Jeddah,app
O100358,2024-07-04 09:00,P007,1,79,0,Abha,web
O100359,2024-07-04 19:00,P007,1,79,0,Riyadh,web
O100360,2024-07-04 16:00,P008,1,89,0,Jeddah,app
O100361,2024-07-04 19:00,P008,2,89,0,Tabuk,app
O100362,2024-07-04 19:00,P008,2,89,0,Jeddah,app
O100363,2024-07-04 17:00,P009,2,29,0,Dammam,app
O100364,2024-07-04 18:00,P009,2,29,0,Dammam,web
O100365,2024-07-04 19:00,P009,2,29,0,Riyadh,web
O100366,2024-07-04 12:00,P009,2,29,0,Abha,app
O100367,2024-07-04 22:00,P009,1,29,0,Makkah,app
O100368,2024-07-04 14:00,P009,1,29,0,Madinah,web
O100369,2024-07-04 06:00,P011,2,99,0,Riyadh,app
O100370,2024-07-04 20:00,P011,1,99,0,Riyadh,app
O100371,2024-07-04 18:00,P011,1,99,0,Riyadh,app
O100372,2024-07-04 03:00,P011,1,99,0,Riyadh,web
O100373,2024-07-04 22:00,P011,2,99,0,Jeddah,app
O100374,2024-07-04 18:00,P011,1,99,0,Khobar,app
O100375,2024-07-04 19:00,P011,2,99,0,Riyadh,app
O100376,2024-07-04 21:00,P011,1,99,0,Khobar,app
O100377,2024-07-04 15:00,P012,2,25,0,Jeddah,app
O100378,2024-07-04 22:00,P012,1,25,0,Riyadh,app
O100379,2024-07-04 18:00,P013,2,69,0,Riyadh,app
O100380,2024-07-04 19:00,P014,1,19,0,Abha,app
O100381,2024-07-04 12:00,P014,1,19,0,Riyadh,web
O100382,2024-07-04 17:00,P014,1,19,0,Tabuk,web
O100383,2024-07-04 23:00,P014,2,19,0,Madinah,app
O100384,2024-07-04 19:00,P016,2,99,0,Madinah,app
O100385,2024-07-04 17:00,P016,2,99,0,Riyadh,web
O100386,2024-07-04 12:00,P016,3,99,0,Jeddah,app
O100387,2024-07-04 22:00,P016,1,99,0,Jeddah,web
O100388,2024-07-04 19:00,P017,2,59,0,Makkah,app
O100389,2024-07-04 20:00,P017,2,59,0,Dammam,web
O100390,2024-07-04 09:00,P017,2,59,0,Makkah,app
O100391,2024-07-04 20:00,P017,2,59,10,Riyadh,app
O100392,2024-07-04 19:00,P018,1,79,0,Makkah,app
O100393,2024-07-04 13:00,P018,2,79,0,Riyadh,web
O100394,2024-07-04 23:00,P019,2,45,0,Dammam,web
O100395,2024-07-04 08:00,P019,1,45,0,Jeddah,app
O100396,2024-07-04 22:00,P019,1,45,0,Jeddah,app
O100397,2024-07-04 10:00,P019,1,45,0,Jeddah,app
O100398,2024-07-04 12:00,P019,1,45,0,Riyadh,app
O100399,2024-07-04 15:00,P020,2,22,0,Makkah,app
O100400,2024-07-04 15:00,P020,2,22,0,Tabuk,app
O100401,2024-07-04 21:00,P020,1,22,0,Jeddah,web
O100402,2024-07-04 11:00,P020,1,22,0,Riyadh,web
O100403,2024-07-04 15:00,P020,1,22,0,Dammam,app
O100404,2024-07-04 15:00,P020,2,22,0,Abha,app
O100405,2024-07-04 07:00,P020,2,22,0,Dammam,app
O100406,2024-07-04 20:00,P022,1,49,0,Jeddah,web
O100407,2024-07-04 20:00,P022,1,49,0,Riyadh,web
O100408,2024-07-04 23:00,P022,1,49,0,Makkah,app
O100409,2024-07-04 19:00,P022,1,49,0,Riyadh,app
O100410,2024-07-04 18:00,P024,2,85,0,Dammam,app
O100411,2024-07-05 23:00,P001,2,45,0,Dammam,app
O100412,2024-07-05 16:00,P001,2,45,0,Khobar,web
O100413,2024-07-05 15:00,P001,1,45,0,Jeddah,web
O100414,2024-07-05 18:00,P001,1,45,0,Abha,app
O100415,2024-07-05 19:00,P002,2,15,0,Tabuk,app
O100416,2024-07-05 20:00,P002,1,15,0,Madinah,web
O100417,2024-07-05 09:00,P002,1,15,0,Makkah,app
O100418,2024-07-05 07:00,P002,2,15,0,Madinah,web
O100419,2024-07-05 23:00,P002,1,15,0,Khobar,app
O100420,2024-07-05 23:00,P002,2,15,0,Abha,app
O100421,2024-07-05 22:00,P003,1,39,0,Khobar,web
O100422,2024-07-05 18:00,P003,2,39,0,Khobar,web
O100423,2024-07-05 18:00,P003,2,39,0,Makkah,app
O100424,2024-07-05 20:00,P003,3,39,0,Madinah,app
O100425,2024-07-05 08:00,P003,3,39,0,Riyadh,web
O100426,2024-07-05 17:00,P003,2,39,0,Riyadh,app
O100427,2024-07-05 20:00,P003,2,39,0,Dammam,app
O100428,2024-07-05 15:00,P003,2,39,0,Jeddah,app
O100429,2024-07-05 13:00,P003,1,39,0,Madinah,web
O100430,2024-07-05 16:00,P004,1,59,0,Abha,app
O100431,2024-07-05 22:00,P004,2,59,0,Riyadh,app
O100432,2024-07-05 19:00,P004,2,59,0,Jeddah,app
O100433,2024-07-05 16:00,P004,2,59,0,Riyadh,web
O100434,2024-07-05 12:00,P004,2,59,10,Riyadh,web
O100435,2024-07-05 16:00,P004,2,59,0,Tabuk,web
O100436,2024-07-05 19:00,P004,2,59,0,Jeddah,app
O100437,2024-07-05 15:00,P004,1,59,0,Riyadh,app
O100438,2024-07-05 23:00,P005,1,189,0,Riyadh,app
O100439,2024-07-05 16:00,P006,2,149,0,Jeddah,app
O100440,2024-07-05 09:00,P006,1,149,0,Riyadh,web
O100441,2024-07-05 12:00,P006,2,149,0,Abha,app
O100442,2024-07-05 19:00,P006,2,149,0,Jeddah,app
